record_id,status,content_type,source_type,source_origin,source_channel,query,source_url,source_file,title,uploader,duration,has_advertising,confidence_score,ad_classification,ad_reason,visual_score,audio_score,text_score,disclosure_score,link_score,brand_names,detected_brands_json,detected_keywords,disclosure_text,cta_matches,commercial_urls,transcript_preview,description_preview,processing_time,needs_review,review_reason,annotation_source,error
video::D:\Projects\VeritasAd\data\uploads\20260124_150333_b5ecc338.mp4,completed,video,file,local_directory,,,,D:\Projects\VeritasAd\data\uploads\20260124_150333_b5ecc338.mp4,20260124_150333_b5ecc338,,359.52,False,0.1833443862156123,mention,Brand mention detected without enough advertising evidence.,0.08043811916187406,0.0,0.5916,0.0,0.0,Петрович,"[{""name"": ""Петрович"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,"Подном, кофе, был такой лепкий пол, что убежать не заплотив, было невозможно.  Здрасте, что вы сейчас заказали, можно меню.  Вы на входе вы в искусстве, ну да, что-то написано, пельменье, ну какое вам еще меню?  Ну может, у вас еще что-то есть?  А вы вы искусстве, да, читал, что-то написано пельменье и еще что-то.  Нет, ну а чего спрашиваешь, что вообще без ничего пельменье есть?  Может, салатики есть киньбы?  Сейчас посмотрю.  Странное какое-то место, да?  Ну да, попахивает.  Перфекционизмом.  ",,141.15,True,low_confidence,veritasad_auto,
video::D:\Projects\VeritasAd\data\uploads\20260124_150520_f280f5f4.mp4,completed,video,file,local_directory,,,,D:\Projects\VeritasAd\data\uploads\20260124_150520_f280f5f4.mp4,20260124_150520_f280f5f4,,729.7957333333334,True,0.6935775380134582,hidden_ad,"Potential hidden advertising detected. CTA: True, Commercial links: True.",0.9344433546066284,0.6,1.0,0.2,0.4,Red Bull; Drunk Elephant; McLaren; Ferrari; William Hill; МАКС; Самолет; BAPE; ПИК; Начнем; Европейской; Это; Звучит,"[{""name"": ""Red Bull"", ""confidence"": 1.0, ""timestamps"": [0.9676333333333333, 1.9352666666666667, 2.9029000000000003, 3.8705333333333334, 12.579233333333333, 14.5145, 20.3203, 35.80243333333333, 37.737700000000004, 46.446400000000004, 54.187466666666666, 56.122733333333336, 57.09036666666667, 58.058, 59.02563333333333, 71.60486666666667, 87.087, 88.05463333333333, 92.89280000000001], ""source"": ""known,text_content"", ""frame_count"": 22, ""detections"": 22, ""occurrences"": 22, ""total_exposure_seconds"": 18.39, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Drunk Elephant"", ""confidence"": 0.9344433546066284, ""timestamps"": [49.3493, 50.31693333333333, 51.28456666666667, 52.2522, 53.219833333333334], ""source"": ""known"", ""frame_count"": 5, ""detections"": 5, ""occurrences"": 5, ""total_exposure_seconds"": 4.84, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""McLaren"", ""confidence"": 0.9289165735244751, ""timestamps"": [11.611600000000001, 13.546866666666666, 15.482133333333334, 16.449766666666665, 17.4174, 18.385033333333332, 19.352666666666668, 21.287933333333335, 22.255566666666667, 23.223200000000002, 26.1261, 27.093733333333333, 29.029, 29.996633333333335, 31.9319, 32.89953333333333, 38.705333333333336, 47.414033333333336, 55.155100000000004, 59.99326666666667, 66.7667, 67.73433333333334, 69.6696, 70.63723333333334, 72.5725, 77.41066666666667, 78.3783, 79.34593333333333, 80.31356666666667, 81.2812, 83.21646666666666, 84.1841, 85.15173333333334, 89.9899], ""source"": ""known"", ""frame_count"": 34, ""detections"": 34, ""occurrences"": 34, ""total_exposure_seconds"": 32.9, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Ferrari"", ""confidence"": 0.8860006332397461, ""timestamps"": [60.9609, 61.928533333333334, 62.896166666666666, 63.8638, 73.54013333333333], ""source"": ""known"", ""frame_count"": 5, ""detections"": 5, ""occurrences"": 5, ""total_exposure_seconds"": 4.84, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""William Hill"", ""confidence"": 0.8443042039871216, ""timestamps"": [7.741066666666667], ""source"": ""known"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.9676333333333333, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""МАКС"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Самолет"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""BAPE"", ""confidence"": 0.8111832141876221, ""timestamps"": [89.02226666666667, 94.82806666666667, 95.7957], ""source"": ""known"", ""frame_count"": 3, ""detections"": 3, ""occurrences"": 3, ""total_exposure_seconds"": 2.9, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""ПИК"", ""confidence"": 0.66, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Начнем"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Европейской"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Это"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Звучит"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}]",сайт; ссылка; описани; ставка,,описании,,"всех приветствую вы на канале Фран-керэйс.  Пока вы смотрите как Макс, перестапин пересекает  финишную черту в обудабии, пьет шампанская и дает  интервью, закули сами уже началась другая.  Не видимая гонка.  Как только болит заезжать за критый парк, механики не идут  праздновать, они берут шуру поверхы.  В течение следующих 5 часов после финишек команды должны  полностью демонтировать поддок.  Каждая панэрь гаражных стен снимается километре кабелей  укладываются в ящике, а мотор холмы эти трехэт",,153.84,True,low_confidence,veritasad_auto,
video::https://www.youtube.com/watch?v=lDr3PKGKGRs,completed,video,youtube,youtube_search,,sponsored review promo code,https://www.youtube.com/watch?v=lDr3PKGKGRs,,Surfshark coupon code | You won’t find a better Surfshark discount!,Cybernews Reviews,78.1781,True,0.7551651176605225,hidden_ad,"Potential hidden advertising detected. CTA: True, Commercial links: True. Links: https://cnews.link/get-surfshark-coupon/s8f2Dtg3Qz4/, https://bi.cybernews.com/amazon-canon-eos-5d-mark-iv-body-only-yt-sp1-gear/",0.7434455156326294,0.0,0.9700253722190857,1.0,1.0,Amazon; Substack; Surfshark; Just; And; Cybernews; Looking; Visit; Stay; Robinhood; Skillshare; WooCommerce,"[{""name"": ""Amazon"", ""confidence"": 0.8999999999999999, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 7, ""detections"": 7, ""occurrences"": 7, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Substack"", ""confidence"": 0.7434455156326294, ""timestamps"": [7.007000000000001, 7.4741333333333335, 7.9412666666666665, 8.4084], ""source"": ""known"", ""frame_count"": 4, ""detections"": 4, ""occurrences"": 4, ""total_exposure_seconds"": 1.87, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Surfshark"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Just"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""And"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Cybernews"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Looking"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Visit"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Stay"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Robinhood"", ""confidence"": 0.5426735877990723, ""timestamps"": [14.014000000000001, 14.481133333333334, 25.2252, 25.692333333333334, 26.159466666666667, 27.093733333333333, 27.560866666666666, 28.028000000000002, 28.495133333333335, 28.962266666666668, 30.8308], ""source"": ""known"", ""frame_count"": 11, ""detections"": 11, ""occurrences"": 11, ""total_exposure_seconds"": 5.61, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Skillshare"", ""confidence"": 0.4200083017349243, ""timestamps"": [43.91053333333333, 44.37766666666667, 44.8448, 45.311933333333336, 45.779066666666665, 46.2462], ""source"": ""known"", ""frame_count"": 6, ""detections"": 6, ""occurrences"": 6, ""total_exposure_seconds"": 2.8, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""WooCommerce"", ""confidence"": 0.41172853112220764, ""timestamps"": [14.948266666666667, 15.4154, 24.290933333333335, 24.758066666666668, 26.6266, 29.4294, 29.896533333333334, 30.363666666666667, 36.903533333333336, 38.30493333333333, 38.77206666666667, 39.239200000000004, 39.70633333333333, 40.17346666666667], ""source"": ""known"", ""frame_count"": 14, ""detections"": 14, ""occurrences"": 14, ""total_exposure_seconds"": 6.54, ""is_unknown"": false, ""is_discovered"": false}]",,,Visit our website; click the link,https://cnews.link/get-surfshark-coupon/s8f2Dtg3Qz4/; https://bi.cybernews.com/amazon-canon-eos-5d-mark-iv-body-only-yt-sp1-gear/; https://bi.cybernews.com/amazon-canon-ef-16-35mm-f2-8l-iii-usm-lens-yt-sp1/; https://bi.cybernews.com/amazon-focusrite-scarlett-2i2-yt-sp1-gear-comm/; https://cnews.link/newsletter/; https://cnews.link/website/; https://linktr.ee/Cybernews; https://cnews.link/offer/drhv7r698h/,"Surfshark is easily one of the best providers in the VPN market.  It's already incredibly affordable, and guess what?  I found the biggest Surfshark coupon code to make it even cheaper.  Just scan the Surfshark promo code on screen or click the link below to access it,  and you'll be surfing the waves in no time.  And if you're wondering which plan to go for, let me help you out.  First, I strongly recommend going with 8-2-year plan, no matter which subscription you choose,  because it offers th",,100.34,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93265,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93265,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,Южнокорейский индекс KOSPI достиг нового исторического максимума и вырос на +37% за последние 34 дня @banksta,1.17,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93266,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93266,,Telegram Post from banksta,banksta,,True,0.31382400000000005,official,Disclosure markers detected (e.g. ERID/#ad/#реклама).,0.0,0.0,0.9208000000000001,0.4,0.0,Telegram; Сбербанк; РБК; Сбер; Теперь; Спасибо; Бонусами,"[{""name"": ""Telegram"", ""confidence"": 0.8999999999999999, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Сбербанк"", ""confidence"": 0.84, ""timestamps"": [], ""source"": ""text_content (alias)"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""РБК"", ""confidence"": 0.74, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}, {""name"": ""Сбер"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Теперь"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Спасибо"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}, {""name"": ""Бонусами"", ""confidence"": 0.6, ""timestamps"": [], ""source"": ""contextual_discovery"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": true}]",,партнерство,,,,"РБК и Сбер запустили партнерство по оплате подписки. Теперь за деловой контент можно платить бонусами Спасибо или получить кешбэк при оформлении через SberID. Бонусами разрешили закрывать до 99% стоимости доступа на любых тарифах. При оплате рублями вернется 5% кешбэка бонусами. Важный момент по автоплатежу — он проходит только в рублях, поэтому для оплаты бонусами следующего периода продление нужно делать вручную. В Сбере решение объясняют ростом спроса на прикладной деловой контент. @banksta",0.98,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93267,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93267,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,"«Самолёт» допустил технический дефолт по облигациям, но компания уверяет, что деньги отправлены. @banksta",1.03,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93269,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93269,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,США забирают себе большую часть нефти с захваченных иранских танкеров в Индийском океане – Трамп в интервью Salem News Channel. @banksta,0.98,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93271,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93271,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,В Португалии подписан новый закон о гражданстве. Срок проживания для его получения удвоен с 5 до 10 лет.  По старым правилам (5 лет) бюрократия тянула выдачу до 7–8 лет. Теперь при 10 годах ожидание будет 13-15 лет. Решение касается и инвесторов «золотых виз» (500 000 евро). Теперь правила изменились и им придётся ждать 10 лет. @banksta,0.98,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93272,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93272,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,"Парламент Румынии вынес вотум недоверия проевропейскому правительству премьера Боложана, следует из итогов голосования. Страну могут ждут новые выборы. Жители недовольны нищетой и ростом налогов @banksta",0.96,True,low_confidence,veritasad_auto,
post::https://t.me/banksta/93273,completed,post,telegram,telegram_archive,banksta,,https://t.me/banksta/93273,,Telegram Post from banksta,banksta,,False,0.16564800000000002,mention,Brand mention detected without enough advertising evidence.,0.0,0.0,0.5916,0.0,0.0,Telegram,"[{""name"": ""Telegram"", ""confidence"": 0.82, ""timestamps"": [], ""source"": ""text_content"", ""frame_count"": 1, ""detections"": 1, ""occurrences"": 1, ""total_exposure_seconds"": 0.0, ""is_unknown"": false, ""is_discovered"": false}]",,,,,,"Доходность 30-летних облигаций Великобритании выросла на 11 базисных пунктов до 5,76%, достигнув самого высокого уровня с 1998 года. Европа берет кредиты для финансирования войны, которую хотят вести «столько, сколько потребуется». Один займ за другим, в то время как национальные экономики идут ко дну. @banksta",0.97,True,low_confidence,veritasad_auto,
